mpg,cylinders,displacement,hp,weight,acceleration,year,territory,carname
18.0,8.0,307.0,130.0,3504.0,12.0,1970,USA,chevrolet chevelle malibu
15.0,8.0,350.0,165.0,3693.0,11.5,1970,USA,buick skylark 320
18.0,8.0,318.0,150.0,3436.0,11.0,1970,USA,plymouth satellite
16.0,8.0,304.0,150.0,3433.0,12.0,1970,USA,amc rebel sst
17.0,8.0,302.0,140.0,3449.0,10.5,1970,USA,ford torino
15.0,8.0,429.0,198.0,4341.0,10.0,1970,USA,ford galaxie 500
14.0,8.0,454.0,220.0,4354.0,9.0,1970,USA,chevrolet impala
14.0,8.0,440.0,215.0,4312.0,8.5,1970,USA,plymouth fury iii
14.0,8.0,455.0,225.0,4425.0,10.0,1970,USA,pontiac catalina
15.0,8.0,390.0,190.0,3850.0,8.5,1970,USA,amc ambassador dpl
,4.0,133.0,115.0,3090.0,17.5,1970,Europe,citroen ds-21 pallas
,8.0,350.0,165.0,4142.0,11.5,1970,USA,chevrolet chevelle concours (sw)
,8.0,351.0,153.0,4034.0,11.0,1970,USA,ford torino (sw)
,8.0,383.0,175.0,4166.0,10.5,1970,USA,plymouth satellite (sw)
,8.0,360.0,175.0,3850.0,11.0,1970,USA,amc rebel sst (sw)
15.0,8.0,383.0,170.0,3563.0,10.0,1970,USA,dodge challenger se
14.0,8.0,340.0,160.0,3609.0,8.0,1970,USA,plymouth 'cuda 340
,8.0,302.0,140.0,3353.0,8.0,1970,USA,ford mustang boss 302
15.0,8.0,400.0,150.0,3761.0,9.5,1970,USA,chevrolet monte carlo
14.0,8.0,455.0,225.0,3086.0,10.0,1970,USA,buick estate wagon (sw)
24.0,4.0,113.0,95.0,2372.0,15.0,1970,Japan,toyota corona mark ii
22.0,6.0,198.0,95.0,2833.0,15.5,1970,USA,plymouth duster
18.0,6.0,199.0,97.0,2774.0,15.5,1970,USA,amc hornet
21.0,6.0,200.0,85.0,2587.0,16.0,1970,USA,ford maverick
27.0,4.0,97.0,88.0,2130.0,14.5,1970,Japan,datsun pl510
26.0,4.0,97.0,46.0,1835.0,20.5,1970,Europe,volkswagen 1131 deluxe sedan
25.0,4.0,110.0,87.0,2672.0,17.5,1970,Europe,peugeot 504
24.0,4.0,107.0,90.0,2430.0,14.5,1970,Europe,audi 100 ls
25.0,4.0,104.0,95.0,2375.0,17.5,1970,Europe,saab 99e
26.0,4.0,121.0,113.0,2234.0,12.5,1970,Europe,bmw 2002
21.0,6.0,199.0,90.0,2648.0,15.0,1970,USA,amc gremlin
10.0,8.0,360.0,215.0,4615.0,14.0,1970,USA,ford f250
10.0,8.0,307.0,200.0,4376.0,15.0,1970,USA,chevy c20
11.0,8.0,318.0,210.0,4382.0,13.5,1970,USA,dodge d200
9.0,8.0,304.0,193.0,4732.0,18.5,1970,USA,hi 1200d
